"ランキングから来ました。
まだ、読んでる途中ですが楽しく読んでいます。",4話と5話でVITが下がっているんですけど、何か読み落としたでしょうか？,,"ありがとうございます！
確認いたしました、完全にこちらのミスですね……初期のVITは鳥面と素の数値込みで「2」です、ご指摘感謝です",2017年 06月04日 13:07,2017年 06月04日 20:20
サンラクさん楽しそうでなにより,イケメンごはんですよって？,"時差ボケの特効薬は二徹。
さあ二徹で続きを書くのじゃ",完全にスパイディと無関係な設定になったあいつ,2018年 11月13日 0:41,2018年 11月13日 3:41
,,長男はあえてレベル99で止めてるってどっかに書いて有った気がするんだが、そうなるともしやエムルさんはレベルだけなら最強のヴォーパルバニー？,それはNOと答えさせてもらいましょう……そう、なぜなら現時点で（ヴァッシュとABC除く）ヴォーパルバニー最高レベルはEなのです……,2018年 11月13日 0:30,2018年 11月13日 3:42
"キャラ、ストーリー、セリフ回し、勢い……つまり全てです。

あと、にんじんを持って一味も二味違う、と言うエムル。かわいい。
",,"半裸に刻印
命を惜しまず、なのにやたらしぶとく、おまけに死んでも蘇る
アホみたいな火力とスピード、成長力
テンションアゲアゲで、戦場にて無双
new目玉が6つの怪物化して暴走（見た目）

これは……クー・フーリン（原典）じゃな。現代に蘇っておったのか……",樽三つ分の冷水用意しなきゃ……,2018年 11月13日 0:21,2018年 11月13日 3:52
ゲロリやすい生態,"アラドヴァル・リビルドに彫られている？文字について。なんて書いてあるの？
",このデザインのインスパイアはグラブルのイベからじゃ……,ルーンですねこれ（うぃきぺ仕込みのにわかルーン）,2018年 11月13日 20:22,2018年 11月13日 20:47
ちょっとイキりが入ったエムルがとてもすこい,"両大陸に同じ色が1つずつならもう一体の「青」も海にいるんですか?
(他の色だとほんとに予測ができないからせめて出てきた色のもう片方が知りたい純粋な目)","まだ本命じゃないのにこの盛り上がり、まだまだ変態挙動待ってます。
寒くなっていきますので体に気遣って私達に温かいゲロ布団をかけてください

",もう一方の青は青色というより青ざめた……おっと,2018年 11月13日 15:05,2018年 11月13日 20:55
,,"
みてみんの画像は誰視点だと思ったらカッツォに送りつけられたスパムメールで草生えた。
これカッツォどころか全ての鍛冶師プレイヤーにぶっ刺さるメールじゃ…",ペ印TVショッピングなら聖槍を自慢した上でごみアイテムを高額で売りつけてきます,2018年 11月13日 19:14,2018年 11月13日 20:57
,,別名義で本編じゃありえない話出せば2次創作だって焼きたてなんとかの人が言ってた,新しい設定をぶっこまない自信が無いから無理だゾ……,2018年 11月14日 6:27,2018年 11月14日 6:37
,,"旅狼勢揃い！黄金堕としだッ...誰か足りない？いやいやまさかー

さらっと鉛筆姉さんが外道な事してるよ...頑張れ勇者ッ魔王に負けるなッッ

そういえば、ヒロインちゃんもいるはずなのに影が薄いのはサンラクさんでもガン見してるのかねー",京極ちゃんはクッソ重要なミッションを受けてるんだよなぁ……,2018年 11月14日 6:26,2018年 11月14日 6:38
,,"原作者による二次創作……？どういうことだってばよ。

まぁファンなんで何が出てきても美味しいんですけどね。本作忘れないでね。あと古戦場もサボれないねぇ！

メタグロス進化待った無し",1550万を超えない……おごごごごご,2018年 11月14日 12:18,2018年 11月14日 12:24
,,騙り名ってサブ垢でも作って書いて？(ハァト),サブ垢はあかんですよあかんですよ……,2018年 11月14日 15:10,2018年 11月14日 16:18
"話が盛り上がりを見せてきて続きがとても楽しみです。
",作者によるシャンフロの二次創・・・つまり外道3人衆がSAOの世界とクロスオーバーする可能性も微レ存？,2作同時進行でも・・・(良いですよ)小声,拙者世界観は神話から作る侍なので複数作品同時進行は設定ビッグバン起こしちゃうぞ！,2018年 11月14日 12:45,2018年 11月14日 16:21
,,リビルドの時に放り込んだ琥珀晶に封じられてた山火事の正体もニラ蝶の炎だから、リペアと合わせて二重にニラ蝶の炎を取り込んだことになるんですよね、アラドヴァルって。リビルドはリバースよりも劣化するとのことですが、サンラクがやらかした所為でスキル面に関しては強化されてませんかね？,"今や叶わぬ未来ですが、リバース方面なら始源眷属相手にもちょっと有利入ったかもしれないんですけどね
アラドヴァル・リビルドは特化性を色竜に絞りつつ範囲火力を上げた感じ",2018年 11月15日 20:55,2018年 11月15日 21:24
,"＞実際リビルド式の仮説では龍蛇の鱗を貫けません
これ貫けるようになる時って来るんですか？","＞なにやら妙なフォルムの小竜がいた気もするが、なに今の？ 盾に頬ずりってか？ 舐めてんの？ ミンチになれや。
これディプスロさんっすよね？","龍蛇の鱗はドチャクソ硬いので……まぁリビルドじゃ無理っすね。だからそもそも奴らはドラゴンじゃない定期

実は白竜さん、結構やばいことを裏でやってるんですよ
ブラブラニャンニャンちゃんは性質こそ白ですがある種の「赤」、つまりむさたんに似た性質を持っておりまして……

まぁ要するに、「出す」だけじゃないんですよ",2018年 11月15日 20:45,2018年 11月15日 21:27
ブリューナクとてもいいと思いす！個人的に好きな武器ランキングトップ10入りです。ちなみにトップ3は村正・レーヴァテイン・ゲイボルクです。,龍よ、龍よ！其の十のラストは疾風なのは仕様でしょうか。轟風ではなく？,自傷する主人公。いいと思います！,轟風は速度削ったパワー型抜刀術なので間に合わないと主人公は判断したのです,2018年 11月15日 20:31,2018年 11月15日 21:28
,,"相変わらず面白いんだけど
このローマ字まじりが凄い読みにくいと思ったのは俺だけか…。",このローマ字混じりがクソ書きづらいと思ってる奴もいるので間違いじゃないですね,2018年 11月15日 20:01,2018年 11月15日 21:29
,,もうギルタ・ブリル使えないの？て人多いけどあれって確か耐久がなくなると「破損(？)」状態になって鍛治師が治すまで使えなくなるものじゃなかった？,"YES、遺機装や甦機装は破損状態でアイテム化します
アホみたいに素材を要求しますが修理可能です
鯱盾は素材の入手難易度が高いので大事に使ってますが籠手の方は蠍なので遠慮なく使い潰してるのです",2018年 11月15日 17:07,2018年 11月15日 21:31
,,"ギルタブリルが完全に壊れましたけど
これ修理するときに帝晶双蠍の素材使えば新たな武器になったりするんですか？","無理ですね、籠手は金晶と水晶の素材で作られてるので別素材は拒絶反応出ます
DSを修理してもPSPにはなれんのです",2018年 11月15日 14:16,2018年 11月15日 21:33
,,"サミーちゃんさんの為に出してた気がするけど……あの時のブリュバスには３号ってついてたから、今回出したのとは別物？ つまり、２号も存在するのかな？
しかし、海洋船のクセに陸地でしか使われてない不思議。推進力とかレア鉱石ドカ食いとか云々言ってたけど使ってない……セーブポイントか拠点でしかないよ。",素で忘れてたんだよなぁ……,2018年 11月17日 6:47,2018年 11月17日 6:48
,,"ご、轟天号！？

ついに全米一と遭遇してしまったかーケツ男を巻き込んでもろとも爆発しそうなのでほっとくとして...
この半裸、また致命的なデメリットを回避したのか～刻傷さん強すぎない？",というかユニークモンスターに関わることがある種のワールドクエストっていうかぁ……,2018年 11月17日 6:48,2018年 11月17日 6:49
,,"> 使用者は強大な力を得た代償として人としての尊厳を失う。
元からないからデメリットないね！かと思ってました",バイド化みたいなもんなんですがねこれ,2018年 11月17日 13:09,2018年 11月17日 13:50
トッププレイヤー育成の十数倍の資金が投入されたブリュバスがついに！,"スカルアヅチとどっちが金かかってんのかな？
材料費的にはブリュバスだろうけど、アヅチは生産廃人が有給消費して造った御殿だから価値が計り知れないしなぁ",とりあえずギルド施設拡張にサンラク御大が投資するだけで戦力的にも設備的にもトップギルドになるんじゃないかなぁ？,"金がかかっている、という点ではブリュバス
スカルアヅチは一から材料集めて作ってるので実質タダですからね",2018年 11月17日 14:41,2018年 11月17日 15:32
,"豊満なスタイルの美女がぐったりしてる喪服少女と、親しげに話しつつ引きずる光景を見たヒロインちゃんの心情は？


リア充剣やグリッターグリットは回収しました？",明日も待ってます(はあと）,"（颯爽と助けようとしたけどAGI的に先越された騎士が立っている）

（颯爽と助けようとしたけど魔法が発動する前に先越された賢者が立っている）",2018年 11月17日 14:05,2018年 11月17日 15:36
"「腹回りのお肉が減ってスリムに見えるぜ？ おめでとう、ダイエット成功だ」

最期の最後まで挑発するサンラクさんホント(*｀ω´)b","赤竜君の安否
&
なんで魔導推進征海船作成に宝石(名前忘れた)が必要だったのか




あと今まで忘れてたけど宝石(猫だけに)ネコババした猫・・・・・・","（颯爽と助けようとしたけど魔法が発動する前に先越された賢者が立っている）

ディスプロさんいたんかーい
登場演出しようとしすぎて空回りしてるディスプロさんホントかわいい","ドゥーレッドハウル君迫真の三足ダッシュ、彼はイキリ散らしてる割に撤退戦上手なので何気に生還力が高い。もし彼が青竜だったら三強には挑まなかったでしょうね。エルドランザ君……果たして彼は単に無謀だったのか、それとも……

ラピステリア星晶体は莫大な魔力を内包する代わりに他の魔力と混ざらず変質もしない、言うなれば水に対する油のようなものです。ですが逆に言えばラピステリアのみの魔力でなんらかの運用をすれば莫大な魔力を行使することができます
そんな観点から設計されたのが魔導推進式、推進力として後方に流した魔力を後部に設置したラピステリアで回収することで一種の水車のような回転構造をウンタラカンタラ、ちなみに余談ですがブリュバスをオーバーフローさせると無人の新大陸調査船に綱引きで勝てる、でも五秒後くらいに爆発する

ネコババネコさんは実はどでかい厄ネタを抱えてしまったのでキャッツェリア上層部は今日もマタタビ葉巻を咥えてニャーニャー会議してます。おや？ あんなところに兎耳

",2018年 11月17日 18:04,2018年 11月17日 19:33
とうとう来たー！！ルストモルド！！,"＞龍王として完全な制御下に置かれたマナ粒子はジークヴルムの制御下にない外的なマナ干渉を塗り潰すかのように無効化する。

つまりクソゲーで例えると、
ペンシルゴンの口が如何に回ろうとも天誅空間で完全に制御された天誅粒子が全てを塗りつぶして無効化天誅する。みたいな感じ？",,どれだけ技巧を凝らした天誅を繰り出してもユラ君の殺傷圏内では問答無用で切り捨てられる感じですね。幕末のレイドボスさんはフォームごとに射程範囲変わりまくるのだ……,2018年 11月18日 15:09,2018年 11月18日 17:11
,"設定鍵の方で申し訳ないですが、
つまりは存在していない伝説の武器と言う概念が
ブリューナク因子なわけであって、
日本神話及び史実で何度か失われたと言う記録を持ち
逆説的に複数存在すると言える天叢雲剣は
天叢雲剣因子を持っていても良いのでは？","どれだけ時間を掛けてもいいので
もっと設定を煮詰めてください","ちょっと違いますね、そもそも「輝槍伝説」そのものが因子によって形作られた虚構の伝承なのです
だから最初からブリューナクという槍は存在しません、しかし因子は適合者に対して「ブリューナクを再現したい」「むしろ自分こそがブリューナクを作りたい」と思考誘導して作らせたのが「輝槍仮説」なのです

天叢雲剣の場合は明確に在るものとして最初の一本がありますので、ブリューナクとは若干違うのです",2018年 11月19日 8:07,2018年 11月19日 11:04
,,魔法無効は詰まるところ上条さん理論でOK？,あれは消しゴムっつーか「正しいレイヤーへの戻るキー」なのでちょっと原理が違いますね……,2018年 11月19日 0:45,2018年 11月19日 11:05
,,"遠き日の具足……『遠き日』ってのは昔を中二テイストで言っただけなのか、それとも『遠き日のセツナ』から製作者である天津気 刹那のことを指してるのかな？
ヴァッシュはウェザエモンの成れの果てのことを知ってたから、ジークヴルムもウェザエモンやそれに関わる遠き日のセツナを知っててもおかしくはないし。","過去の定義の違いです
今を生きる人類にとっては過去とは「情報」ですが、ジークヴルムにとって過去とは「思い出」なのです
故に遠き日に見た具足なのです",2018年 11月18日 22:44,2018年 11月19日 11:06
"朱雀さん？朱雀さん！朱雀さんじゃないか！
雲まで吹き飛ばせる最新型扇風機の朱雀さんじゃぁないか！ひっさしぶりだねぇ！元気だった！？",地上からの狙撃は玄武かな？サイナかな？モルドする？,"『輝槍仮説』でマジエモなんですけど、アラドヴァル以外の輝槍も竜/龍特効なの？
同じ分類の英傑武器だけど共通効果的な括りはないの？",竜特攻はドルダナが振るったからこその能力なので他の槍は別の能力持ちです,2018年 11月18日 20:11,2018年 11月19日 11:07
ルスト計画の全貌がついに明らかに！,"そいやサイナの顔ってどの程度メカなんだろう
銀色眩しいメタル肌なのか
人をかたどってるけど硬質な感触なのか
それともやわらか未来素材の某もっこすさんみたいな感じなんだろうか","皆旅狼の鉄砲玉を本当の鉄砲玉にしたがってて草
",見た目は完全に人だけどなんか皮膚の下を青いエネルギーラインが通ってるのが時折見えるし、瞳孔の開き方とかがどう見てもカメラとかのアレ,2018年 11月18日 18:21,2018年 11月19日 11:08
,,ヒューマンドラゴラって食べれるの？なおSAN値,稀に茎の方に実るトマトっぽい何かに火をつけると派手に燃える,2018年 11月18日 17:51,2018年 11月19日 11:09
,ユラ君って熱殺蜂球以外の方法で天誅されたことあります？,作中時間って何月だっけ・・・,ランカーによる一度に全刺し黒ひげ危機一発とかで,2018年 11月18日 17:24,2018年 11月19日 11:10
"白熱する戦場
","ギルタ・ブリル全損したし、新しい親友の素材も手に入ったし、新しいの作るんですよね(ゲス顔)

やっとこさまともに使ってくれる人が来て朱雀くん感涙なんじゃ…",無理なくドンドン更新して下さいね！,"朱雀「扇風機じゃないんです！ ルストさんサイコー！！」
青龍「サンラクとはマブよマブ。あ、近づかないで一秒で俺死ぬから」
白虎「白虎×オイカッツォ」
玄武「………」

火力的には玄武君が頭一つ飛び抜けてるけど、悲しきかな出番に恵まれないのだ……",2018年 11月19日 12:57,2018年 11月19日 16:30
"ブリュバスはオルケストラまでお預けそう
オルケストラ編プロット出来てますか？^^","サンラクはアタックホルダーの資格はあるはず
ならば後は作者は獲らせる気がそもそもあるのか
獲らせたらヒロインちゃんの廃人要素が消し飛ぶけどヒロインちゃんはあげるだけで好感度上がるなら躊躇無く渡しそう
そして全一さんも資格はあるが獲らせるのだろうか…
連結技としては上位互換取れるそうだけど","玄武の能力が弱いはずは無いが誰も選んでない
……つまりエルザった？(青竜エルドランザ)",実のところオルケストラが拙作の初期プロットにおいて最初に考えられたユニークモンスターだったりします,2018年 11月19日 11:48,2018年 11月19日 16:31
サイナを入れて外道四人衆に増えた点,,"真化は英傑武器に至る手段の1つと思ってたけど、アラドヴァルの説明みてると昔のもの限定なんですね。
ジークヴルムもヴァッシュも英雄求めすぎだろと思ってた","英傑武器は主に古代の武器防具しか該当しないんですね、良くも悪くもシャンフロ現代はヌルいです



これから厳しくしていこうな！！",2018年 11月19日 17:00,2018年 11月19日 17:05
神話から設定作っちゃう系設定中毒の作者様が最初に考えたのがオルケストラって根幹ゴリゴリじゃないですかぁ,"輝ける龍王って現実改変的な…？
魔法そのものが現実改変な気がするけどそれを圧倒的ヒューム値で抑え込むみたいな…？

いやでも魔法も原理が確立された理論っぽいよなぁ。","
(更新を求める亡者)",記憶処理しときますねー,2018年 11月20日 12:11,2018年 11月20日 18:36
まさかの夕方更新、不定期だもんね仕方ないね！,更新が楽しみで仕方がない,ヤフーニュース載っててびっくりしたのですがアニメ化して欲しいラノベ・小説ランキング18位おめでとうございます(*゜▽゜ノノ゛☆パチパチ,"………？ （困惑）
…………（確認）
……！！？！？（衝撃）",2018年 11月20日 22:09,2018年 11月20日 23:37
次回、スカルアヅチ死す、デュエルスタンバイ！,なんでお前のブレス疑問形なんだよ,,殴られたからでは？（ネタバレ）,2018年 11月20日 19:38,2018年 11月20日 23:38
,,"回を追うごとに青竜が可哀想になっていくな
追い詰められたら最終形態になれるのに即死って・・・",最終形態にはなったんやぞ、プレイヤー一切関わってないからアナウンス不発しただけやぞ（かなしみ）,2018年 11月20日 18:56,2018年 11月20日 23:42
,,"そういえばシャンフロって部位欠損ありますけど
例えばサンラクが右手を欠損した場合メニューウィンドウはどこに現れるんですか？
あと操作も手が使えなかったら使用不可とかはないだろうしレスポンスは遅いけど思考入力できるとか？","いつだったか感想欄かどこかで書いた記憶があるのですが一応説明

通常の武器では「元から破壊できる部位」以外を切り離したりはできません。どれだけのダメージが入っても首を落としたりはできないわけです
ただ特殊な効果を持つ一部の武器であれば本来破壊できないはずの部位も破壊できます。主人公が使う武器の中だとヴェノスティンガーの壊毒がそれですね、ちなみにアラドヴァルも竜限定で破壊可能な属性を持っています
PK達はそれらを使ってプレイヤーの手を切り落としたりしています（両腕がなくなったらウィンドウは開けません）

ただこの属性はモンスター相手でもカルマ値が洒落にならないくらい上がりますし、作成難易度も高かったりします。ヴェノスティンガー？ VIT上げたら弾けます",2018年 11月21日 0:22,2018年 11月21日 2:08
"ハザードモードも出せずに死んであまつさえ他のレイドモンスターの苗床になったエルドランザとかいうレイドモンスターの恥さらし
深海怖いなぁとづまりすとこ",,,乱数って怖いね、でも死んでネタを残せる分マシなのでは？,2018年 11月21日 5:06,2018年 11月21日 6:03
,,"赤はやっぱりかませか
話し方とかにかませ感がにじみ出てた
特に死ぬとき",ドゥーレッドハウル君の悪名は死後強まるタイプの念……じゃなくて設定,2018年 11月21日 6:10,2018年 11月21日 6:15
,,"拳闘鶏たち飛べない鳥の鳥人族は同族から忌み子扱いされてましたけど、地面の下に埋まってる……と言うか、地面そのもののエレボスくんって確かペンギンだったような……。

ドゥーレッドハウルは竜人族を使役したいたハズですけど、今回彼らはどうしてるんでしょう？ ついでに感染元が死んだからこれからどうなるんでしょう？","まぁ左利きの子が生まれるよりは低確率ですね飛べない鳥人族

ドゥッさんが死んでも感染した竜血鬼および竜人族がどうこうなったりはしません、ただノワルリンド以上に悪辣（※コスい、と読む）なドゥッさんが死んだ事で進み始める物語もあるのです",2018年 11月21日 6:22,2018年 11月21日 6:34
,,罅割れて蒸気出してパワーアップするドラゴンに不良マンガに出てきそうな鳥の人。実質サンラクだらけじゃないか！？,河川敷で殴り合うハシビロコウとニワトリ………これなんの小説？,2018年 11月21日 6:33,2018年 11月21日 6:35
やっと話が進んだ？,,外道どもが楽しそうでなにより,そろそろ詰めていきたいけどどう見積もっても四十話くらい行きそうなんだよなぁ……（まず確実に30は超える）,2018年 11月21日 6:31,2018年 11月21日 6:36
,,流れ弾貰いつつもしっかりと狙撃を当てていくモルドはきっとそのうち笑いながらオペレーティング出来るようになるんだろうか...?,"まぁ撃ってるのはサイナですが、タイミングや撃つ場所の指示は全てモルドが出しています
ただ当てればいいというものではありませんからね、ハエが足にぶつかるのと顔に張り付くのでは対応も変わるというものです",2018年 11月21日 6:26,2018年 11月21日 6:37
,,"色竜一体目が倒れて既に二十二話ですがあと二十八話くらいで終わりそうですか……？（小声）

それはそれとしてサイガ-100さんいっそのことネトゲ婚でもすればいいのにと思った今日この頃
この調子だったら仮にお見合い組まされても結婚できないでしょ",サイガ-100にはいつかもう一度スポットを当てていきたい今日この頃,2018年 11月21日 6:25,2018年 11月21日 6:38
草餅め……,草餅め……,草餅め……,草餅め……,2018年 11月21日 6:18,2018年 11月21日 6:39
,,"ラストアタック判定有りとか連繋がクソになる予感しかしないんだよなぁ……
上位のネトゲプレイヤーなんてエゴイストの集団だし、これから荒れそうな気がする。",いうてそこまで特別なものは出ませんよ、称号とちょっとだけ次の段階で有効な……おっとおましりおましり,2018年 11月21日 6:51,2018年 11月21日 6:57
今日も熱くなる話をありがとうございます！,,"100さんあんなに決め台詞みたいなの吐いてドヤ顔で技放ってフィニッシュ取ったかと思ったら・・・

草餅ェ・・・",草餅君、リーダーの援護で矢を撃ってたら先にリーダーが攻撃当てたせいでラストアタックを掻っ攫ってしまった模様,2018年 11月21日 6:47,2018年 11月21日 6:58
,,"ブライレイニェゴに捕食行動があり、近くにはついさっき死んだやつがいる
つまり竜災がさらに深まるか","実はそれ選択肢の一つでした

ドゥーレッドハウルにどうおっちんでもらうかで割と悩んでましたねぇ、結論としてあっさり死んでもらった方がいいかなぁと。こう、後々的に",2018年 11月21日 6:53,2018年 11月21日 7:11
">「ジョークだ、
100さんはオチャメだなぁ
100さんのようなメロン美人で仕事のできるオチャメな上司のもとで働きたいだけの人生だった（白目）",,"そのうち台詞内の言葉に“ ”や！？が付属してきそうなマガジン不良漫画のノリの鳥人族好き
赤竜を“不幸”と“踊”させた立役者ですね彼らは","「""翼""がなくたってよォ、俺たちにはこの""拳""があるんでェ……夜露死苦！！」

「翼がなくたって飛べるんだよなぁ（ぶっちぎ臨界速）」

！？",2018年 11月21日 7:28,2018年 11月21日 7:40
"最後のコントでダメだった。

否定しつつもノってくれるサンラクさん。
お前の兄さんアメンボみたいだな。",,"死後強くなる悪名かよ、
VRAINSの鴻上博士的なアレですね。
鴻上博士最低だな。","あの博士はレジェンドすぎてやばい、何もかもが博士のせいに帰結するっていうドンサウザンドに匹敵する一個人
やばすぎる",2018年 11月21日 10:14,2018年 11月21日 12:13
,,【おめでとうございます！】【ジークヴルム さんがMVPを獲得しました！】,モグラさんの親玉かな？,2018年 11月21日 11:56,2018年 11月21日 12:14
,,"あれ？でもこれ確か色竜ってコアがぶち壊されない限りその代の竜は死んでも代替わりしないとか言ってたような？
つまり一回死んで更に狡くなった赤アメンボ復活フラグ？",お前は知りすぎた,2018年 11月21日 18:10,2018年 11月21日 19:56
,"今さらな質問なんですが、ヒロインちゃんのVR機器が壊れたときにバグって消えたのは何でですかね？
ゲームの接続が切れてるならログアウトと同じようにアバターが残りそうな気がしますし、世界観的にシャンフロ内でゲーム的なバグって起こりうるものなんでしょうか？",,"あれはセーブポイントではなく通常エリアにいたからこその処置です。例えば停電でプレイヤーの接続が途切れた場合、PKと戦っている最中でアバターだけ棒立ちになって放置されたらクソゲーですからね。世界観的な理由づけとしては

＿人人人人人人人人＿
＞　突然の神隠し　＜
￣Y^Y^Y^Y^Y^Y^Y￣

大体こんな感じです。システム的には自動敗北という形をとるため、PvPの最中であれば相手プレイヤーに経験値が入りますが、カルマ値は増えずアイテムもドロップしません。",2018年 11月22日 14:57,2018年 11月22日 22:19
,さて、古戦場も終わったようですが、終わったようですが,,ほら五日目一応あるから……,2018年 11月23日 0:15,2018年 11月23日 0:16
,"ギャグ的に見てたけど『インテリジェンス』…思ったより深い言葉なのかもしれない…。

神代の『人』を映したロボ、ウェザエモンと何か関係があるのでは…？
もしかしたら遠き日の刹那の言ったバハムートも…。

『インテリジェンス』―――
『インテリジェンス』とはアリス計画とは全く異なる計画と理論で、人類を機械化して生存させる計画だったのかも、例のエドワード君‥？が言っていた『あまつき刹那の理論のほうが‥』みたいな言葉はアリスの『今の人類は諦めて次の人類に託しましょう』ではなく『インテリジェンス』的に人類をロボ化して―みたいな理論に近かったのかも…。",妄想をここまで膨らませる作品も珍しい。,"人形に
知性など
あるのだろうか

それでも
手を伸ばして
遠くても
届かなくても

憧れは
決して",2018年 11月23日 0:29,2018年 11月23日 1:17
マッチョ硬梨菜……おめでとうございますビィ君が泣いて逃げてそう。,,やっとジークブルム降りてきたかぁ、アメンボの次はブラブラニャンニャンが倒れそう。竜が減る度にプレイヤーの火力が集まってくるからジークブルム討伐派は急がなきゃならんねぇ……,当方、土パはゴミゴミの実を食べたゴミ編成なのでマッチョよりブローディアが欲しかったで御座る,2018年 11月23日 11:06,2018年 11月23日 11:24
硬梨菜さんは世が世なら10万の兵を率いていたかもしれない・・・・・・？,,,あの爺様、敵の数が少なくなるほど無能になる説が……,2018年 11月23日 11:24,2018年 11月23日 11:25
,"リベリオンくん率いる「黒狼」は何やってるんだろう？
元々リュカオーン討伐と最前線攻略(ジークヴルム討伐)で分離したのに黒剣が思いっきり活躍してて、黒狼は影も形も見当たらない……

そもそもの疑問なんですが、黒剣と黒狼って一クランの別部門みたいな感じじゃなくて完全に別のクランとして分かたれたんですよね？てことは名前だけとはいえ最前線攻略のトップクランのはずなのに黒狼一派はどこに消えたんだ…",,"黒狼のプレイヤーは……ほら、うん、B.I.Gにこそ引っかからないけど判定は何度もやってるというか……

こう、小竜に囲まれて……ね、はい",2018年 11月23日 11:48,2018年 11月23日 12:17
,,某マンガ誌でイタリア語でカッツォって使われててク○ッ！とか畜生て意味らしいよ。,"チンチン電車やオマーン湖が罷り通る世の中ならカッツォと堂々と名乗るプロゲーマーがいてもいい……ぶっちゃけますが割とわざとです、ちょっと作者の暗黒面が漏れたので放置しました

某マンガ雑誌の例のマンガですが僕は好きです、長続きしてほしい……

",2018年 11月23日 17:30,2018年 11月23日 18:52
インテリジェンスに溢れてる。,チーム動物愛護団体(爬虫類派)が、ドラゴン救う為、イベントに抗ってないか。,"既出かもしれませんが、モンスター由来の鉱石って蠍以外で今後出てきたりします？
食って精製以外にも。
ニラ蝶産ウルツァイト窒化ホウ素とか。
何が聞きたいかというと
超カンカンフェスティバルinブロッケントリードは行われるのか、と。","ブロッケントリード君は石というか土、地層なのでカンカンしても旨味は少ないのじゃ……あ、でも背中の土は栄養たっぷり！ ミントとか植えた日には爆発的に食人ミントが増殖するぞ！！



",2018年 11月23日 17:28,2018年 11月24日 8:29
,白竜の捕食吸収ってキメラアン…,,"現象としてはアレに近いけど原理は別物ですね、白竜は一度捕食したデータを何度でも使い回せるのでどちらかといえばパソコンにデータ取り込んでる感じです

むさたんはペットボトルの中身詰め替えてる感じ",2018年 11月25日 16:21,2018年 11月25日 22:40
,聖女ちゃんが8体目ユニークモンスターになるための最悪のルートって何だろ？,もっとだ、もっと情報を吐け(腹パン)　　　　　　　オネシャス,魔女狩りルートが最速ですね,2018年 11月26日 0:18,2018年 11月26日 0:34
,"＞聖女ちゃんは現時点でシャンフロ唯一のユニーク出自「生まれるべきではなかった」持ちNPC
作者さんの設定の節々に滲み出る性質から推測するにもしかして聖女ちゃんって産まれる前から何かしらの改造やらをされていてた？技術問題なんか解決する手段なら幾らでも思い付くし、例えばクターニッドのように概念付与をしてみたり、新人類を旧人類に改変させてみたり、ステータスそのものに手を加えたりら「始源」関係、もしくはヴァイスアッシュやジークブルムのような因子を埋め込んでみたり、新人類のプレイヤー化（リスポーンやログアウトの付与）をしてみたり等々の、普通失敗する改造が偶然にも成功とまでは言わなくとも成果が出てしまった存在だとか、如何にも作者の性癖にぶっ刺さりそうな感じではありませんか？（最早考察というより自分の性癖の暴露だったりするのは秘密）
もしくは確か神代に聖女ちゃんの祖先がいたことはハニワ爆弾の聖女ちゃん人形についての下りでゲロってたし、ただの一般人がわざわざ固有の人物として神代の兵器に認識される訳がない（根拠としてはわざわざ固有の人物としてフィギュアになっているから）ので、それ関係？",長文失礼しま,今の人類の成り立ちに関わってくるというか一号計画のイレギュラーというかNPC達が思ったより頭良かったというか,2018年 11月26日 1:18,2018年 11月26日 1:26
,"＞「撃滅必須級デストラクション」

＞回収の必要なし、次世代原始人類にとって害にしかなり得ない対象を自身らの存在を度外視してでも撃滅する＞執行モード。クラスX戦略武装、及び回収オブジェクトの全運用が許可され、現時点で稼働する全機体を消耗品＞と定義して特攻する。

聖女ちゃん本当に何者なんだよ…
",,ぶっちゃけ聖女ちゃんが今生きてるという時点で割とエマージェンシー,2018年 11月26日 1:05,2018年 11月26日 1:27
こんな時間に更新されたこと,明日の更新の予定の有無,クライマックスに向けて盛り上がっていく感じがいいですね,予約投稿忘れただけです（ガバ暴露）,2018年 11月26日 0:43,2018年 11月26日 1:42
,,ああ、聖女ってそういう。泣いているのだろうか？,"「悲しい」だなんて、そんなものを彼女は持っていません
「嬉しい」だなんて、そんなものを彼女は持つことを許されていません
それでも彼女は笑うのです、せめて彼女は誰かにとっての「良い人」でいたいから。たとえそれが表情筋を意図的に硬直させたものだっただけの「上っ面」だとしても

そんな時に彼女は「先達」に出会い、今よりも少し前に至り、ジョゼット達に出会って……少しだけ、ほんの少しだけ悪戯心を芽生えさせてもいいくらいには前に進めたのです





何時ぞや語った世界が記憶した女性像。
彼女の前に「先達」が現れることはなく、ただ願いに応えるだけの「モノ」になり果てることを良しとした彼女と生き写しの少女。最も新しき神代は現代に何を成すのか……ここまでそれっぽく語ったけど具体的に何をさせるかは特に考えていないのじゃ……多分そのうち考えるけど……
",2018年 11月26日 2:13,2018年 11月26日 3:01
